campo1;campo2;campo3;campo4;campo5;campo6;campo7;campo8;campo9;;;;;;
VPNMESC20.IM21.CCSPort-channel5;VPNMESC20.IM21.CCS;VPN;MESC20.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;4;;;;;;
VPNmesc23.im21.ccsPort-channel5;VPNmesc23.im21.ccs;VPN;mesc23.im21.ccs;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;4;;;;;;
VPNMESC19.IM21.CCSPort-channel5;VPNMESC19.IM21.CCS;VPN;MESC19.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
VPNMESB1.IM21.CCSPort-channel5;VPNMESB1.IM21.CCS;VPN;MESB1.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
VPNMESC18.IM21.CCSPort-channel5;VPNMESC18.IM21.CCS;VPN;MESC18.IM21.CCS;MESA2.IM21.CCS;Port-channel5;PSR2.CCS1;ae-10;1;;;;;;
ADImesb10.morato.telefonica.bogPort-channel40;ADImesb10.morato.telefonica.bog;ADI;mesb10.morato.telefonica.bog;MESA1.CXV.BOG;Port-channel40;ar2.bgo1;ae-3;1;;;;;;
VPLSmesc13.baq.baqPort-channel3;VPLSmesc13.baq.baq;VPLS;mesc13.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc13.baq.baqPort-channel3;VPNmesc13.baq.baq;VPN;mesc13.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc2.baq.baqPort-channel3;VPLSmesc2.baq.baq;VPLS;mesc2.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc2.baq.baqPort-channel3;VPNmesc2.baq.baq;VPN;mesc2.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc3.baq.baqPort-channel3;VPLSmesc3.baq.baq;VPLS;mesc3.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc3.baq.baqPort-channel3;VPNmesc3.baq.baq;VPN;mesc3.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc14.baq.baqPort-channel3;VPLSmesc14.baq.baq;VPLS;mesc14.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc14.baq.baqPort-channel3;VPNmesc14.baq.baq;VPN;mesc14.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc8.baq.baqPort-channel3;VPLSmesc8.baq.baq;VPLS;mesc8.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc8.baq.baqPort-channel3;VPNmesc8.baq.baq;VPN;mesc8.baq.baq;N/A;Port-channel3;psr1.brq1;ae3;1;;;;;;
ADImesc15.im21.ccsPort-channel3;ADImesc15.im21.ccs;ADI;mesc15.im21.ccs;MESA2.IM21.CCS;Port-channel3;ar2.ccs1;ae-3;4;;;;;;
ADIMESC17.IM21.CCSPort-channel3;ADIMESC17.IM21.CCS;ADI;MESC17.IM21.CCS;MESA2.IM21.CCS;Port-channel3;ar1.ccs1;ae-3;1;;;;;;
ADIMESC20.IM21.CCSPort-channel3;ADIMESC20.IM21.CCS;ADI;MESC20.IM21.CCS;MESA2.IM21.CCS;Port-channel3;ar2.ccs1;ae-3;4;;;;;;
ADImesc23.im21.ccsPort-channel3;ADImesc23.im21.ccs;ADI;mesc23.im21.ccs;MESA2.IM21.CCS;Port-channel3;ar2.ccs1;ae-3;4;;;;;;
ADIMESC19.IM21.CCSPort-channel3;ADIMESC19.IM21.CCS;ADI;MESC19.IM21.CCS;MESA2.IM21.CCS;Port-channel3;ar1.ccs1;ae-3;1;;;;;;
ADIMESB1.IM21.CCSPort-channel3;ADIMESB1.IM21.CCS;ADI;MESB1.IM21.CCS;MESA2.IM21.CCS;Port-channel3;ar1.ccs1;ae-3;1;;;;;;
ADIMESC18.IM21.CCSPort-channel3;ADIMESC18.IM21.CCS;ADI;MESC18.IM21.CCS;MESA2.IM21.CCS;Port-channel3;ar1.ccs1;ae-3;1;;;;;;
VPLSmesc3.pne.bgaPort-channel3;VPLSmesc3.pne.bga;VPLS;mesc3.pne.bga;MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPNmesc3.pne.bgaPort-channel3;VPNmesc3.pne.bga;VPN;mesc3.pne.bga;MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPNmesc1.baq.baqPort-channel3;VPNmesc1.baq.baq;VPN;mesc1.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSMESC11.BAQ.BAQPort-channel3;VPLSMESC11.BAQ.BAQ;VPLS;MESC11.BAQ.BAQ;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNMESC11.BAQ.BAQPort-channel3;VPNMESC11.BAQ.BAQ;VPN;MESC11.BAQ.BAQ;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc21.pbe.mdePort-channel3;VPLSmesc21.pbe.mde;VPLS;mesc21.pbe.mde;MESA1.BAQ.BAQ;Port-channel3;ar2.bgo2;ae-14;1;;;;;;
VPNmesc21.pbe.mdePort-channel3;VPNmesc21.pbe.mde;VPN;mesc21.pbe.mde;MESA1.BAQ.BAQ;Port-channel3;ar2.bgo2;ae-14;1;;;;;;
VPLSmesc4.baq.baqPort-channel3;VPLSmesc4.baq.baq;VPLS;mesc4.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc4.baq.baqPort-channel3;VPNmesc4.baq.baq;VPN;mesc4.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc9.baq.baqPort-channel3;VPLSmesc9.baq.baq;VPLS;mesc9.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc9.baq.baqPort-channel3;VPNmesc9.baq.baq;VPN;mesc9.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc1.baq.baqPort-channel3;VPLSmesc1.baq.baq;VPLS;mesc1.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc10.baq.baqPort-channel3;VPLSmesc10.baq.baq;VPLS;mesc10.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPNmesc10.baq.baqPort-channel3;VPNmesc10.baq.baq;VPN;mesc10.baq.baq;MESA1.BAQ.BAQ;Port-channel3;psr1.brq1;ae3;1;;;;;;
VPLSmesc2.cen.bgaPort-channel3;VPLSmesc2.cen.bga;VPLS;mesc2.cen.bga; MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPNmesc2.cen.bgaPort-channel3;VPNmesc2.cen.bga;VPN;mesc2.cen.bga; MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPLSMESC3.CEN.BGAPort-channel3;VPLSMESC3.CEN.BGA;VPLS;MESC3.CEN.BGA; MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPNMESC3.CEN.BGAPort-channel3;VPNMESC3.CEN.BGA;VPN;MESC3.CEN.BGA; MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPLSmesc4.cen.bgaPort-channel3;VPLSmesc4.cen.bga;VPLS;mesc4.cen.bga; MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPNmesc4.cen.bgaPort-channel3;VPNmesc4.cen.bga;VPN;mesc4.cen.bga; MESA2.CEN.BGAPort-channel3;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPLSMESC2.PNE.BGAPort-channel3;VPLSMESC2.PNE.BGA;VPLS;MESC2.PNE.BGA; MESA2.CEN.BGA;Port-channel3;psr1.bga2;ae3;1;;;;;;
VPNMESC2.PNE.BGAPort-channel3;VPNMESC2.PNE.BGA;VPN;MESC2.PNE.BGA; MESA2.CEN.BGA;Port-channel3;psr1.bga2;ae3;1;;;;;;
ADImesc2.pca.cloPort-channel20;ADImesc2.pca.clo;ADI;mesc2.pca.clo;MESA2.SMO.CLO/Port-channel20;Port-channel20;ar3.cal1;ae-6;4;;;;;;
VPLSmesc2.pca.cloPort-channel20;VPLSmesc2.pca.clo;VPLS;mesc2.pca.clo;MESA2.SMO.CLO/Port-channel20;Port-channel20;ar3.cal1;ae-6;4;;;;;;
